"recipe_line_id";"menu_variant_id";"menu_item_id";"menu_variant_name";"portion_size";"ingredient_id";"ingredient_name";"ingredient_group_code";"quantity_per_portion";"unit";"preparation_loss_fraction";"preparation_loss_pct";"effective_quantity_per_portion";"recipe_component_status";"inventory_consumption_eligible";"source_row_number";"source_file"
"RL-0021";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"PROT-004";"Flame-seared wagyu";"PROT";"60";"g";"0.08";"8";"65.217391";"SOURCE_RECIPE";"true";"22";"Recipe and menu data_1_1(1).xlsx"
"RL-0022";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"SAUC-001";"Teriyaki sauce";"SAUC";"30";"g";"0.03";"3";"30.927835";"SOURCE_RECIPE";"true";"23";"Recipe and menu data_1_1(1).xlsx"
"RL-0023";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"24";"Recipe and menu data_1_1(1).xlsx"
"RL-0024";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"25";"Recipe and menu data_1_1(1).xlsx"
"RL-0025";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"GARN-003";"Crispy shallots";"GARN";"1";"spoon";"0.02";"2";"1.020408";"SOURCE_RECIPE";"true";"26";"Recipe and menu data_1_1(1).xlsx"
"RL-0026";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"27";"Recipe and menu data_1_1(1).xlsx"
"RL-0027";"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"GARN-006";"63-degree egg";"GARN";"1";"ea";"0.05";"5";"1.052632";"SOURCE_RECIPE";"true";"28";"Recipe and menu data_1_1(1).xlsx"
"RL-0028";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"BASE-001";"Cooked jasmine rice";"BASE";"250";"g";"0.02";"2";"255.102041";"SOURCE_RECIPE";"true";"29";"Recipe and menu data_1_1(1).xlsx"
"RL-0029";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"LEAF-001";"Mixed leaf salad";"LEAF";"40";"g";"0.08";"8";"43.478261";"SOURCE_RECIPE";"true";"30";"Recipe and menu data_1_1(1).xlsx"
"RL-0030";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"PROT-004";"Flame-seared wagyu";"PROT";"80";"g";"0.08";"8";"86.956522";"SOURCE_RECIPE";"true";"31";"Recipe and menu data_1_1(1).xlsx"
"RL-0031";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"SAUC-001";"Teriyaki sauce";"SAUC";"40";"g";"0.03";"3";"41.237113";"SOURCE_RECIPE";"true";"32";"Recipe and menu data_1_1(1).xlsx"
"RL-0032";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"33";"Recipe and menu data_1_1(1).xlsx"
"RL-0033";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"34";"Recipe and menu data_1_1(1).xlsx"
"RL-0034";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"GARN-003";"Crispy shallots";"GARN";"1";"spoon";"0.02";"2";"1.020408";"SOURCE_RECIPE";"true";"35";"Recipe and menu data_1_1(1).xlsx"
"RL-0035";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"36";"Recipe and menu data_1_1(1).xlsx"
"RL-0036";"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"GARN-006";"63-degree egg";"GARN";"1";"ea";"0.05";"5";"1.052632";"SOURCE_RECIPE";"true";"37";"Recipe and menu data_1_1(1).xlsx"
"RL-0037";"MI-008-SMALL";"MI-008";"Karaage Chicken Bowl - Small";"Small";"BASE-001";"Cooked jasmine rice";"BASE";"150";"g";"0.02";"2";"153.061224";"SOURCE_RECIPE";"true";"38";"Recipe and menu data_1_1(1).xlsx"
"RL-0038";"MI-008-SMALL";"MI-008";"Karaage Chicken Bowl - Small";"Small";"LEAF-001";"Mixed leaf salad";"LEAF";"10";"g";"0.08";"8";"10.869565";"SOURCE_RECIPE";"true";"39";"Recipe and menu data_1_1(1).xlsx"
"RL-0039";"MI-008-SMALL";"MI-008";"Karaage Chicken Bowl - Small";"Small";"PROT-003";"Karaage chicken";"PROT";"100";"g";"0.03";"3";"103.092784";"SOURCE_RECIPE";"true";"40";"Recipe and menu data_1_1(1).xlsx"
"RL-0040";"MI-008-SMALL";"MI-008";"Karaage Chicken Bowl - Small";"Small";"SAUC-001";"Teriyaki sauce";"SAUC";"30";"g";"0.03";"3";"30.927835";"SOURCE_RECIPE";"true";"41";"Recipe and menu data_1_1(1).xlsx"
"RL-0041";"MI-008-SMALL";"MI-008";"Karaage Chicken Bowl - Small";"Small";"SAUC-003";"Spicy mayo";"SAUC";"10";"g";"0.03";"3";"10.309278";"SOURCE_RECIPE";"true";"42";"Recipe and menu data_1_1(1).xlsx"
"RL-0042";"MI-008-SMALL";"MI-008";"Karaage Chicken Bowl - Small";"Small";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"43";"Recipe and menu data_1_1(1).xlsx"
"RL-0043";"MI-008-SMALL";"MI-008";"Karaage Chicken Bowl - Small";"Small";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"44";"Recipe and menu data_1_1(1).xlsx"
"RL-0044";"MI-008-LARGE";"MI-008";"Karaage Chicken Bowl - Large";"Large";"BASE-001";"Cooked jasmine rice";"BASE";"250";"g";"0.02";"2";"255.102041";"SOURCE_RECIPE";"true";"45";"Recipe and menu data_1_1(1).xlsx"
"RL-0045";"MI-008-LARGE";"MI-008";"Karaage Chicken Bowl - Large";"Large";"LEAF-001";"Mixed leaf salad";"LEAF";"15";"g";"0.08";"8";"16.304348";"SOURCE_RECIPE";"true";"46";"Recipe and menu data_1_1(1).xlsx"
"RL-0046";"MI-008-LARGE";"MI-008";"Karaage Chicken Bowl - Large";"Large";"PROT-003";"Karaage chicken";"PROT";"130";"g";"0.03";"3";"134.020619";"SOURCE_RECIPE";"true";"47";"Recipe and menu data_1_1(1).xlsx"
"RL-0047";"MI-008-LARGE";"MI-008";"Karaage Chicken Bowl - Large";"Large";"SAUC-001";"Teriyaki sauce";"SAUC";"40";"g";"0.03";"3";"41.237113";"SOURCE_RECIPE";"true";"48";"Recipe and menu data_1_1(1).xlsx"
"RL-0048";"MI-008-LARGE";"MI-008";"Karaage Chicken Bowl - Large";"Large";"SAUC-003";"Spicy mayo";"SAUC";"10";"g";"0.03";"3";"10.309278";"SOURCE_RECIPE";"true";"49";"Recipe and menu data_1_1(1).xlsx"
"RL-0049";"MI-008-LARGE";"MI-008";"Karaage Chicken Bowl - Large";"Large";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"50";"Recipe and menu data_1_1(1).xlsx"
"RL-0050";"MI-008-LARGE";"MI-008";"Karaage Chicken Bowl - Large";"Large";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"51";"Recipe and menu data_1_1(1).xlsx"
"RL-0051";"MI-003-SMALL";"MI-003";"Miso Eggplant Bowl - Small";"Small";"BASE-001";"Cooked jasmine rice";"BASE";"150";"g";"0.02";"2";"153.061224";"SOURCE_RECIPE";"true";"52";"Recipe and menu data_1_1(1).xlsx"
"RL-0052";"MI-003-SMALL";"MI-003";"Miso Eggplant Bowl - Small";"Small";"LEAF-001";"Mixed leaf salad";"LEAF";"10";"g";"0.08";"8";"10.869565";"SOURCE_RECIPE";"true";"53";"Recipe and menu data_1_1(1).xlsx"
"RL-0053";"MI-003-SMALL";"MI-003";"Miso Eggplant Bowl - Small";"Small";"PROT-011";"Crispy eggplant";"PROT";"100";"g";"0.05";"5";"105.263158";"SOURCE_RECIPE";"true";"54";"Recipe and menu data_1_1(1).xlsx"
